name,price,status,shipping,free_returns,items_sold
America/NA Genshin Impact Diluc Hu Tao Eula Zhongli Xiao Baal Ayaka Kazuha Venti,149,New (Other),0,True,
NA EUW League of Legends LoL Account 40K 50K 60K BE UNRANKED LEVEL 30 UNVERIFIED,110,Brand New,0,True,306
Tetris Nintendo Original Game Boy Game - Tested - Working - Authentic! ,2428,Pre-Owned,0,True,543
MEWTWO ✨SHINY✨ NON-SHINY 6IV VGC - POKEMON SWORD AND SHIELD,199,New (Other),0,True,43
Super Mario Odyssey (Nintendo Switch) Includes Case and Cartridge,4398,New (Other),0,True,109
"Forza Horizon 4 ALL CARS IN THE GAME!, 100K Forzathon Points, 900 Million CR,",1499,Brand New,0,True,1559
World of Simulators: Playstation 4 [Brand New] PS4,1398,Brand New,0,True,
1X Random Steam Key [REGION FREE],99,Brand New,0,True,397
Super Robot Wars 30 -  Nintendo Switch,6999,Brand New,0,True,
Red Dead Redemption Game of the Year Edition Playstation 3 PS3 - Brand New,1829,Brand New,0,True,
Mario Party Superstars - Nintendo Switch,5299,Brand New,0,True,
Diablo 2 Resurrected D2R Softcore Pick a Rune Ist - Zod PC US/EU/ASIA NEW Prices,1300,Brand New,0,True,
Brand New Argentina Steam ACCOUNT,269,Brand New,0,True,661
For Nintendo N64 Mario Party 3 Video Game Cartridge Console Card US Version ,2299,Brand New,0,True,98
Super Mario Bros. 2 - Nintendo NES Game Authentic,1979,Pre-Owned,295,True,123
"NA 40K+ League of Legends SMURF Account LoL 40,000 - 50,000 BE UNRANKED",249,Brand New,0,True,547
Wii Fit (Nintendo Wii) - Fitness Game - Complete w/ Manual - Tested - Free Ship,899,New (Other),0,True,678
Far Cry 6 (PS4) NEW,5872,Brand New,0,True,65
Yoshi - Nintendo NES Game Authentic,1429,Pre-Owned,295,True,47
DS - Dragon Quest 4 in 1 Game & Case,2300,New (Other),450,True,9
12 Million Bells & 400 Nook Miles Tickets (NMT) - Delivery ✅Online Now✅,1999,Brand New,0,True,25
✨ULTRA SHINY ZACIAN & ZAMAZENTA✨ | GAMESTOP/GAME EVENT | Pokemon Sword & Shield ,299,Brand New,0,True,175
Dark Souls Trilogy (PS4 PlayStation),4799,Brand New,0,True,
Luigi's Mansion - Nintendo 3DS - World Edition,3999,Brand New,0,True,462
Diablo 2 Hellfire Torches,899,Brand New,0,True,
Super Nintendo SNES/N64 Video Game Box Hard Acrylic Display Case,1499,Brand New,550,True,
Bloodborne Game of the Year Edition Playstation 4 PS4 PS5 Bloodborne GOTY - New!,2500,Brand New,0,True,
Namco Museum Arcade Pac Nintendo Switch Brand New Factory Sealed,3299,Brand New,0,True,206
Pokemon Crystal Red Yellow Blue Green Gold Silver Game Card GB GBC GBA Game Boy ,1479,Brand New,0,True,
For Nintendo N64 Mario Party 2Video Game Cartridge Console Card US Version ,2199,Brand New,0,True,
World War Z for Nintendo Switch [New Video Game],3999,Brand New,0,True,
Metroid Fusion Game boy Advance GBA,1899,Brand New,0,True,18
2 in 1 Black2 + White2 Video Games For Pokemon DS 2DS 3DS NDSL Gift,1999,Brand New,0,True,33
Wii Sports Resort (Nintendo Wii) Complete in Case - Tested Working - Free Ship,3899,New (Other),0,True,
"Castlevania: Dawn of Sorrow (Nintendo DS, 2005) USA VERSION, GAME CARD ONLY",2299,New (Other),0,True,56
Need for Speed Heat PS4 [Brand New],2054,Brand New,0,True,76
Jump Force PS4 [Brand New],1867,Brand New,0,True,126
"CRYSIS REMASTERED TRILOGY XBOX ONE / XBOX SERIES X (2021) GAMES 1, 2 & 3 NEW",3899,Brand New,399,True,26
